model,frame_cost,budget,n_runs,n_episodes,reward_mean,reward_std,nav_reward_mean,nav_reward_std,frames_mean,frames_std,vy_mean,vy_std,success_pct_mean,success_pct_std
vy>0.2 (after obs space change)
budget-pen,2.0,25.0,1,1000,61.0050,0.0000,118.3250,0.0000,29.78,0.00,0.3748,0.0000,75.80,0.00
budget-pen,2.0,30.0,1,1000,74.7366,0.0000,138.7086,0.0000,33.10,0.00,0.3582,0.0000,86.00,0.00
budget-pen,2.0,50.0,1,1000,108.1673,0.0000,189.1893,0.0000,41.59,0.00,0.2707,0.0000,87.50,0.00
budget-pen,2.0,75.0,1,1000,132.8607,0.0000,227.4767,0.0000,48.36,0.00,0.2061,0.0000,94.90,0.00
budget-pen,2.0,100.0,1,1000,131.6601,0.0000,225.4021,0.0000,47.91,0.00,0.2089,0.0000,92.70,0.00

vy>0.4 (after obs space change)
budget-pen,2.0,25.0,1,1000,85.2560,0.0000,147.9480,0.0000,32.44,0.00,0.3682,0.0000,79.90,0.00
budget-pen,2.0,30.0,1,1000,126.2275,0.0000,190.0635,0.0000,33.00,0.00,0.3636,0.0000,79.80,0.00
budget-pen,2.0,50.0,1,1000,102.7038,0.0000,179.3098,0.0000,39.39,0.00,0.3018,0.0000,90.60,0.00
budget-pen,2.0,100.0,1,1000,164.4763,0.0000,243.6983,0.0000,40.68,0.00,0.2927,0.0000,93.40,0.00


vy>0.4 (paper)
Ours 25.0 23.52 0.4769 82.0 0.8368
Ours 30.0 32.83 0.3980 82.0 0.8337
Ours 50.0 46.22 0.2950 96.0 0.8702
Ours 100.0 48.21 0.3772 83.0 0.8533
