fps,dim,rmse_kf,rmse_held,rmse_ratio_kf_over_held,nees_mean,nees_expected,nis_mean,nis_var,nis_expected,n_ticks
1,x,0.02940479512026982,0.1090870358830143,0.2695535256068716,6.116297816222656,6,3.346222394386617,73.41630583211222,6,6832
1,vx,0.10668545061462674,0.23754781481969203,0.44911147970611776,6.116297816222656,6,3.346222394386617,73.41630583211222,6,6832
1,y,0.04227402468383763,0.452791618812208,0.09336309005615777,6.116297816222656,6,3.346222394386617,73.41630583211222,6,6832
1,vy,0.22517862463101287,0.738967416149148,0.3047206408699953,6.116297816222656,6,3.346222394386617,73.41630583211222,6,6832
1,angle,0.2689920823617222,0.8709637996624449,0.30884415915560914,6.116297816222656,6,3.346222394386617,73.41630583211222,6,6832
1,angular_velocity,0.6286452872164027,1.069646998550813,0.5877128511257531,6.116297816222656,6,3.346222394386617,73.41630583211222,6,6832
5,x,0.015057246228389642,0.05333862222170317,0.2822953724939475,4.174031141228899,6,4.598217377964125,114.39858998836011,6,12175
5,vx,0.06488266518628504,0.10567323991401645,0.6139933368095685,4.174031141228899,6,4.598217377964125,114.39858998836011,6,12175
5,y,0.02417275440975528,0.09927801257666524,0.24348547863091444,4.174031141228899,6,4.598217377964125,114.39858998836011,6,12175
5,vy,0.1065943857487951,0.1574587771854364,0.6769669348013593,4.174031141228899,6,4.598217377964125,114.39858998836011,6,12175
5,angle,0.06603986921165698,0.10044329843995362,0.6574840754670809,4.174031141228899,6,4.598217377964125,114.39858998836011,6,12175
5,angular_velocity,0.3100236728001087,0.3449109027561358,0.8988514724317265,4.174031141228899,6,4.598217377964125,114.39858998836011,6,12175
10,x,0.010651367842355302,0.050420382009825036,0.2112512324932356,3.643758807108847,6,3.882061858193796,17.907850660828178,6,20514
10,vx,0.0524437434952825,0.06340545059943203,0.8271172746109665,3.643758807108847,6,3.882061858193796,17.907850660828178,6,20514
10,y,0.016999402342138443,0.05620871645591129,0.3024335621588575,3.643758807108847,6,3.882061858193796,17.907850660828178,6,20514
10,vy,0.06621156278140933,0.08024347662359484,0.8251332764654971,3.643758807108847,6,3.882061858193796,17.907850660828178,6,20514
10,angle,0.031017081138050222,0.056736268932241075,0.5466887710768091,3.643758807108847,6,3.882061858193796,17.907850660828178,6,20514
10,angular_velocity,0.1529807985098845,0.1634087192748441,0.936185040729556,3.643758807108847,6,3.882061858193796,17.907850660828178,6,20514
25,x,0.0067720169298776675,0.04951789003942722,0.1367589960817321,4.864086459296286,6,3.909368596649055,10.322055762865922,6,30864
25,vx,0.046550143556267305,0.05151836181483455,0.9035641258077297,4.864086459296286,6,3.909368596649055,10.322055762865922,6,30864
25,y,0.012418071631424648,0.05079717981491668,0.2444638004840194,4.864086459296286,6,3.909368596649055,10.322055762865922,6,30864
25,vy,0.047269172485521135,0.05407478857163893,0.8741443791851052,4.864086459296286,6,3.909368596649055,10.322055762865922,6,30864
25,angle,0.017819244750213466,0.050196618895538815,0.35498894432105144,4.864086459296286,6,3.909368596649055,10.322055762865922,6,30864
25,angular_velocity,0.06389685569080687,0.06836062120634392,0.9347026777000264,4.864086459296286,6,3.909368596649055,10.322055762865922,6,30864
50,x,0.005125657978447574,0.04959341377922874,0.10335360258249371,7.229816196656956,6,4.006889453325092,7.214391087115611,6,41618
50,vx,0.04356570832533518,0.04992605582574911,0.8726046471082617,7.229816196656956,6,4.006889453325092,7.214391087115611,6,41618
50,y,0.01139367742286364,0.050042497718387695,0.22768003082062646,7.229816196656956,6,4.006889453325092,7.214391087115611,6,41618
50,vy,0.039586915894795606,0.04972880182600051,0.7960560970945764,7.229816196656956,6,4.006889453325092,7.214391087115611,6,41618
50,angle,0.012872722237582334,0.0498217436861552,0.2583755863438295,7.229816196656956,6,4.006889453325092,7.214391087115611,6,41618
50,angular_velocity,0.045157370067558246,0.04999330717818213,0.9032683096281663,7.229816196656956,6,4.006889453325092,7.214391087115611,6,41618
