fps,staleness,mean_trace_P,n_samples
1,0,0.006805392506816628,300
1,1,0.048511324807726276,196
1,2,0.08692637422743647,192
1,3,0.12550698883691663,186
1,4,0.16449522271974024,184
1,5,0.20382500135516324,179
1,6,0.2437737341191239,178
1,7,0.28436927940829543,178
1,8,0.3254960995958796,171
1,9,0.3675788903197502,169
1,10,0.41043021497771537,162
1,11,0.4542514077044205,154
1,12,0.49946626763994667,154
1,13,0.5457253576874019,149
1,14,0.5934574505355185,148
1,15,0.642415156826479,142
1,16,0.6930594166958312,140
1,17,0.7453769113574249,139
1,18,0.7994264001569443,138
1,19,0.8553089573277107,137
1,20,0.9130784785683445,135
1,21,0.9729294407184637,134
1,22,1.0349166489820263,133
1,23,1.0991912962264394,133
1,24,1.1656520954446945,130
1,25,1.2347064016543006,130
1,26,1.3061398822723556,127
1,27,1.3802064501237197,124
1,28,1.4571877857262345,124
1,29,1.537014374475218,124
1,30,1.619665758238718,122
1,31,1.705228034734136,118
1,32,1.7939881640998963,115
1,33,1.8860580466675878,113
1,34,1.981547421589275,112
1,35,2.080407986085748,110
1,36,2.1828132945397933,108
1,37,2.288863904499072,106
1,38,2.398837684712648,106
1,39,2.5125791582965875,105
1,40,2.6303658368787572,105
1,41,2.752211016897679,105
1,42,2.8781231947011365,104
1,43,3.008195525138153,102
1,44,3.1428204021122124,102
1,45,3.2819082398222044,102
1,46,3.4255601677565357,102
1,47,3.573877315403594,102
1,48,3.7269608122517717,102
1,49,3.884807044367206,101
5,0,0.009072783496839652,1354
5,1,0.048198298980816366,1238
5,2,0.08671739520340047,1225
5,3,0.12545398989002934,1213
5,4,0.16451143069260954,1207
5,5,0.20398909591656947,1203
5,6,0.24398490607033838,1194
5,7,0.2846041207948571,1189
5,8,0.32594510744003535,1182
5,9,0.3681076697206496,1170
10,0,0.008327372148510951,4219
10,1,0.046935411502664594,4101
10,2,0.08545739219024952,4087
10,3,0.12419611134027814,4063
10,4,0.16325322616300914,4044
25,0,0.0072323068112284845,15499
25,1,0.045673770315158534,15365
50,0,0.006510440133775854,41618
