global_step=42336 | return=-31.26 | steps=500
global_step=42560 | return=-6.35 | steps=500
global_step=42784 | return=-333.52 | steps=214
global_step=42880 | return=-85.13 | steps=123
global_step=43392 | return=-203.56 | steps=322
global_step=43488 | return=-371.56 | steps=158
global_step=44416 | return=-20.81 | steps=500
global_step=44608 | return=-108.85 | steps=500
global_step=45344 | return=-142.65 | steps=500
global_step=45440 | return=-181.35 | steps=500
global_step=45568 | return=-114.88 | steps=214
global_step=45664 | return=-105.16 | steps=103
global_step=46112 | return=-116.76 | steps=439
global_step=46304 | return=-50.46 | steps=500
global_step=46336 | return=-73.30 | steps=500
global_step=46368 | return=-217.00 | steps=92
global_step=46976 | return=-417.09 | steps=300
global_step=47328 | return=-168.15 | steps=119
global_step=47424 | return=25.11 | steps=500
global_step=47488 | return=-474.88 | steps=482
global_step=47712 | return=-342.92 | steps=311
global_step=47968 | return=-511.36 | steps=255
global_step=48064 | return=-88.91 | steps=500
global_step=48064 | return=-8.76 | steps=500
global_step=48608 | return=-137.68 | steps=94
global_step=48992 | return=-48.01 | steps=500
global_step=49024 | return=-339.47 | steps=473
global_step=49856 | return=-354.84 | steps=227
global_step=50176 | return=-136.42 | steps=85
global_step=50592 | return=-104.61 | steps=132
global_step=50624 | return=-9.06 | steps=500
global_step=51616 | return=-164.59 | steps=93
global_step=52128 | return=-60.48 | steps=500
global_step=52384 | return=-515.37 | steps=296
global_step=52576 | return=-336.87 | steps=201
global_step=52864 | return=-127.12 | steps=500
global_step=52896 | return=-296.32 | steps=315
global_step=52896 | return=47.31 | steps=500
global_step=53792 | return=-373.20 | steps=181
global_step=54240 | return=-34.54 | steps=500
global_step=54432 | return=-560.42 | steps=467
global_step=54784 | return=-290.32 | steps=209
global_step=54912 | return=-153.57 | steps=500
global_step=55040 | return=-429.21 | steps=302
global_step=55104 | return=-137.09 | steps=500
global_step=55520 | return=-494.06 | steps=203
global_step=55776 | return=-4.60 | steps=295
global_step=55776 | return=-128.86 | steps=90
global_step=55840 | return=-148.36 | steps=101
global_step=55840 | return=-168.81 | steps=500
