Wall time,Step,Value
1779312319.5091465,6816,3.095238208770752
1779312319.7159426,7296,3.4352941513061523
1779312320.8764584,9920,5.375
1779312322.307946,13312,1.7553191184997559
1779312323.3591478,15744,2.589040994644165
1779312323.8292985,16832,1.4035087823867798
1779312325.3381283,20384,5.307692527770996
1779312325.741216,21280,5.315315246582031
1779312326.7718425,23712,2.46052622795105
1779312327.199129,24704,5.753012180328369
1779312329.1129582,29216,1.8880000114440918
1779312329.7928205,30880,6.6227545738220215
1779312330.1889274,31840,4.941860675811768
1779312395.1948185,33184,1.8951612710952759
1779312396.359814,35808,1.9342105388641357
1779312396.822613,36832,6.25
1779312398.9574625,41760,7.127659797668457
1779312399.5211778,43072,5.604838848114014
1779312399.8051372,43616,3.865168571472168
1779312400.7152398,45760,5.956521511077881
1779312401.2727275,47072,5.443181991577148
1779312401.731431,48160,5.78000020980835
1779312402.5169473,50016,5.013513565063477
1779312403.2850826,51840,4.011627674102783
1779312403.35551,52000,7.915789604187012
1779312403.5722377,52512,2.0327868461608887
1779312404.46033,54592,2.9259259700775146
1779312404.8810792,55584,3.9548871517181396
1779312405.1311133,56192,5.838709831237793
1779312406.201746,58752,1.7682926654815674
1779312406.7834496,60064,2.365384578704834
1779312408.1457648,63200,2.2909090518951416
1779312473.3734226,67808,1.5094339847564697
1779312475.8270206,73504,4.45945930480957
1779312477.6255784,77664,12.021052360534668
1779312477.7058494,77856,3.627659559249878
1779312480.9126048,85472,2.681159496307373
1779312481.8207643,87584,3.409090995788574
1779312482.2577689,88576,2.96610164642334
1779312482.4317398,88992,3.097222328186035
1779312482.475608,89088,2.5833332538604736
1779312485.142336,95136,4.845454692840576
1779312485.3139355,95552,3.0991735458374023
1779312486.1926882,97568,2.4561402797698975
1779312486.355544,97952,1.306666612625122
1779312549.916233,98368,3.7313432693481445
1779312550.2052934,99040,2.822580575942993
1779312553.7918417,107264,8.82022476196289
1779312554.558366,109056,4.0406975746154785
1779312555.3947427,111040,3.029411792755127
1779312555.8736932,112128,3.7058823108673096
1779312556.4356678,113408,7.7717390060424805
1779312556.966655,114624,3.076923131942749
1779312558.5948231,118400,2.339622735977173
1779312627.1355095,131200,6.839622497558594
1779312627.5149386,132128,4.452054977416992
1779312629.2382734,136256,10.170454978942871
1779312633.3235853,145824,3.247619152069092
1779312633.7225568,146720,5.276056289672852
