Wall time,Step,Value
1779312395.0100167,32768,-1.0609626770019531e-05
1779312472.3886704,65536,0.00020420551300048828
1779312549.885976,98304,0.0002512335777282715
1779312627.071418,131072,0.0007262229919433594
1779312704.403273,163840,0.0008242130279541016
1779312781.8217864,196608,0.0011899471282958984
1779312859.98779,229376,0.0016170740127563477
1779312937.698671,262144,0.002644181251525879
1779313015.6408906,294912,0.0038260221481323242
1779313093.5048351,327680,0.004780173301696777
1779313172.1523197,360448,0.008036494255065918
1779313250.2132869,393216,0.011429965496063232
1779313328.066986,425984,0.014548838138580322
1779313405.413533,458752,0.016568243503570557
1779313483.0655556,491520,0.02156919240951538
1779313560.7822556,524288,0.02879798412322998
1779313639.1477668,557056,0.03339266777038574
1779313716.2146857,589824,0.03743690252304077
1779313794.7329135,622592,0.03944957256317139
1779313870.1082902,655360,0.04777449369430542
1779313944.2202551,688128,0.052995920181274414
1779314018.3125644,720896,0.06217223405838013
1779314097.0155258,753664,0.06649911403656006
1779314175.490261,786432,0.06901609897613525
1779314253.5065281,819200,0.06284034252166748
1779314332.3712656,851968,0.07672739028930664
1779314411.0537493,884736,0.0829782485961914
1779314488.6564627,917504,0.08878153562545776
1779314567.447568,950272,0.09587770700454712
1779314645.3525229,983040,0.09495687484741211
1779314723.5367477,1015808,0.106819748878479
1779314801.8903823,1048576,0.10697364807128906
1779314879.9485688,1081344,0.10378819704055786
1779314957.4452574,1114112,0.1127271056175232
1779315033.7716112,1146880,0.12104332447052002
1779315111.96308,1179648,0.12168598175048828
1779315190.0581849,1212416,0.13031822443008423
1779315267.6866152,1245184,0.13384056091308594
1779315344.6010725,1277952,0.13848453760147095
1779315422.4835877,1310720,0.13943856954574585
1779315499.4130387,1343488,0.1436915397644043
1779315576.2219446,1376256,0.14794504642486572
1779315654.2151423,1409024,0.1657240390777588
1779315730.7887104,1441792,0.1602824330329895
1779315806.958967,1474560,0.16494596004486084
1779315883.2318532,1507328,0.16388064622879028
1779315959.6285458,1540096,0.16185826063156128
1779316036.9272468,1572864,0.18660861253738403
1779316113.9353578,1605632,0.16859722137451172
1779316189.5400465,1638400,0.1838861107826233
1779316264.524199,1671168,0.19198626279830933
1779316343.1346748,1703936,0.18156051635742188
1779316421.3427308,1736704,0.19154083728790283
1779316499.522842,1769472,0.19332897663116455
1779316577.5268412,1802240,0.20024770498275757
1779316655.8714952,1835008,0.1971116065979004
1779316734.839198,1867776,0.20633798837661743
1779316811.5991342,1900544,0.20596933364868164
1779316890.441907,1933312,0.21116650104522705
1779316968.3708644,1966080,0.21989238262176514
1779317047.4774039,1998848,0.21680277585983276
1779317125.0950549,2031616,0.24154192209243774
1779317203.6324627,2064384,0.2198854684829712
1779317282.4364917,2097152,0.2257215976715088
