global_step=10080 | return=-114.53 | steps=99
global_step=10112 | return=-363.21 | steps=50
global_step=10176 | return=-273.64 | steps=90
global_step=10336 | return=-237.09 | steps=55
global_step=10464 | return=-231.87 | steps=95
global_step=10592 | return=-272.12 | steps=90
global_step=10624 | return=-529.87 | steps=63
global_step=10688 | return=-237.31 | steps=62
global_step=11072 | return=-183.40 | steps=73
global_step=11200 | return=-214.78 | steps=105
global_step=11232 | return=-372.22 | steps=53
global_step=11328 | return=-592.71 | steps=73
global_step=11328 | return=-169.38 | steps=106
global_step=11392 | return=-212.32 | steps=91
global_step=11488 | return=-782.11 | steps=274
global_step=11488 | return=-558.18 | steps=78
global_step=11520 | return=-190.27 | steps=74
global_step=11584 | return=114.76 | steps=273
global_step=11648 | return=-182.80 | steps=72
global_step=11712 | return=-133.40 | steps=90
global_step=11744 | return=-849.58 | steps=93
global_step=11904 | return=-214.32 | steps=56
global_step=11968 | return=-405.57 | steps=55
global_step=11968 | return=-213.47 | steps=57
global_step=12064 | return=150.93 | steps=249
global_step=12224 | return=-430.13 | steps=58
global_step=12288 | return=-251.23 | steps=71
global_step=12448 | return=-461.31 | steps=57
global_step=12512 | return=-276.28 | steps=63
global_step=12608 | return=-123.29 | steps=88
global_step=12640 | return=-730.67 | steps=81
global_step=12736 | return=-479.71 | steps=63
global_step=12768 | return=-247.04 | steps=52
global_step=12864 | return=-135.90 | steps=126
global_step=12960 | return=-218.72 | steps=72
global_step=12992 | return=-115.89 | steps=104
global_step=13056 | return=-346.89 | steps=53
global_step=13248 | return=95.78 | steps=277
global_step=13312 | return=-347.53 | steps=65
global_step=13376 | return=-594.29 | steps=119
global_step=13504 | return=-502.66 | steps=62
global_step=13568 | return=-419.60 | steps=56
global_step=13664 | return=-542.61 | steps=67
global_step=13696 | return=-171.74 | steps=71
global_step=13792 | return=-500.88 | steps=68
global_step=13792 | return=-179.30 | steps=79
global_step=14048 | return=-581.62 | steps=72
global_step=14144 | return=-125.01 | steps=67
global_step=14176 | return=-227.66 | steps=170
global_step=14368 | return=-458.40 | steps=64
global_step=14624 | return=-310.76 | steps=82
global_step=14656 | return=-223.86 | steps=68
global_step=14688 | return=-153.76 | steps=98
global_step=14784 | return=-382.66 | steps=211
global_step=14784 | return=-597.40 | steps=79
global_step=14816 | return=-74.88 | steps=108
global_step=14880 | return=-566.50 | steps=62
global_step=14976 | return=-385.56 | steps=53
global_step=15072 | return=-427.38 | steps=54
global_step=15104 | return=-220.35 | steps=53
global_step=15168 | return=-386.46 | steps=51
global_step=15232 | return=-362.33 | steps=76
global_step=15584 | return=-207.28 | steps=92
global_step=15616 | return=-173.22 | steps=79
global_step=15648 | return=-281.28 | steps=82
global_step=15808 | return=-150.01 | steps=98
global_step=15936 | return=-469.71 | steps=55
global_step=16032 | return=-747.91 | steps=73
global_step=16032 | return=-479.59 | steps=57
global_step=16096 | return=-168.21 | steps=104
global_step=16320 | return=-459.36 | steps=60
global_step=16672 | return=-248.92 | steps=89
global_step=16704 | return=-194.09 | steps=97
global_step=16736 | return=-278.81 | steps=60
global_step=16896 | return=-239.72 | steps=68
global_step=16896 | return=-405.19 | steps=163
global_step=17024 | return=-377.03 | steps=57
global_step=17088 | return=-466.65 | steps=156
global_step=17152 | return=-408.66 | steps=96
global_step=17152 | return=-173.67 | steps=77
global_step=17312 | return=-390.95 | steps=72
global_step=17376 | return=-239.88 | steps=291
global_step=17376 | return=-635.88 | steps=70
global_step=17472 | return=-155.93 | steps=82
global_step=17472 | return=-878.29 | steps=80
global_step=17568 | return=-224.91 | steps=91
global_step=17568 | return=-529.10 | steps=60
global_step=17600 | return=-122.68 | steps=78
global_step=17632 | return=-254.41 | steps=61
global_step=17728 | return=-234.71 | steps=91
global_step=18240 | return=-726.88 | steps=71
global_step=18464 | return=-594.91 | steps=73
global_step=18592 | return=-295.04 | steps=70
global_step=18656 | return=-202.57 | steps=95
global_step=18720 | return=-281.56 | steps=63
global_step=18816 | return=-420.52 | steps=111
global_step=18912 | return=-442.94 | steps=62
global_step=19104 | return=-173.22 | steps=102
global_step=19104 | return=-632.56 | steps=74
global_step=19168 | return=-233.99 | steps=62
global_step=19200 | return=-197.82 | steps=53
global_step=19200 | return=-454.55 | steps=98
global_step=19232 | return=-642.05 | steps=228
global_step=19424 | return=-228.16 | steps=78
global_step=19424 | return=-566.32 | steps=65
global_step=19488 | return=-184.92 | steps=107
global_step=19520 | return=-356.96 | steps=204
global_step=19648 | return=-418.12 | steps=63
global_step=19680 | return=-338.36 | steps=80
global_step=19712 | return=-494.72 | steps=92
global_step=19712 | return=-288.90 | steps=64
global_step=19712 | return=-404.31 | steps=83
global_step=19744 | return=-208.49 | steps=73
global_step=19776 | return=-389.03 | steps=226
global_step=19808 | return=-173.45 | steps=75
global_step=20064 | return=-492.65 | steps=80
global_step=20128 | return=-275.35 | steps=79
global_step=20160 | return=-428.06 | steps=198
global_step=20448 | return=-435.34 | steps=50
global_step=20448 | return=-536.94 | steps=89
global_step=20640 | return=-448.26 | steps=59
global_step=20640 | return=-360.30 | steps=74
global_step=20960 | return=-362.05 | steps=118
global_step=20992 | return=-108.46 | steps=101
global_step=21056 | return=-394.82 | steps=74
global_step=21088 | return=-390.55 | steps=59
global_step=21184 | return=-497.81 | steps=80
global_step=21216 | return=-225.89 | steps=65
global_step=21248 | return=-461.58 | steps=56
global_step=21472 | return=-236.25 | steps=93
global_step=21696 | return=-218.83 | steps=59
global_step=21760 | return=-452.94 | steps=69
global_step=21760 | return=-798.22 | steps=79
global_step=21792 | return=-573.81 | steps=66
global_step=21856 | return=-514.45 | steps=63
global_step=21888 | return=-382.83 | steps=67
global_step=21888 | return=-426.93 | steps=67
global_step=21952 | return=-196.57 | steps=76
global_step=21952 | return=-629.34 | steps=88
global_step=22016 | return=-531.38 | steps=71
global_step=22048 | return=-196.70 | steps=81
global_step=22080 | return=-295.68 | steps=60
global_step=22336 | return=-259.18 | steps=67
global_step=22368 | return=-540.13 | steps=81
global_step=22624 | return=-285.04 | steps=79
global_step=22752 | return=-163.50 | steps=71
global_step=22816 | return=-746.20 | steps=73
global_step=22880 | return=-339.91 | steps=69
global_step=22912 | return=-134.19 | steps=100
global_step=22944 | return=-440.14 | steps=58
global_step=23040 | return=-496.74 | steps=60
global_step=23104 | return=-294.58 | steps=66
global_step=23200 | return=-660.81 | steps=79
global_step=23424 | return=-181.76 | steps=130
global_step=23424 | return=-225.28 | steps=75
global_step=23424 | return=-320.74 | steps=48
global_step=23488 | return=-181.44 | steps=71
global_step=23776 | return=-277.58 | steps=52
global_step=23840 | return=-414.92 | steps=81
global_step=23872 | return=-644.28 | steps=81
global_step=23968 | return=-609.46 | steps=77
global_step=24064 | return=-260.28 | steps=70
global_step=24128 | return=-646.84 | steps=73
global_step=24192 | return=-318.84 | steps=69
global_step=24256 | return=-283.30 | steps=69
global_step=24320 | return=-541.25 | steps=75
global_step=24320 | return=-468.70 | steps=60
global_step=24352 | return=-247.23 | steps=80
global_step=24384 | return=-484.63 | steps=75
global_step=24832 | return=-153.18 | steps=97
global_step=24832 | return=-210.67 | steps=55
global_step=24832 | return=-239.27 | steps=77
global_step=24864 | return=-157.25 | steps=61
global_step=24928 | return=-555.36 | steps=62
global_step=25120 | return=-551.65 | steps=71
global_step=25152 | return=-186.02 | steps=101
global_step=25248 | return=-276.91 | steps=71
global_step=25248 | return=-358.31 | steps=54
global_step=25280 | return=-409.61 | steps=57
global_step=25376 | return=-348.87 | steps=201
global_step=25728 | return=-233.43 | steps=92
global_step=25952 | return=-173.15 | steps=78
global_step=26016 | return=-109.63 | steps=66
global_step=26016 | return=-336.52 | steps=67
global_step=26048 | return=-523.20 | steps=88
global_step=26240 | return=-447.11 | steps=59
global_step=26272 | return=-288.78 | steps=131
global_step=26272 | return=-556.93 | steps=77
global_step=26304 | return=-187.25 | steps=69
global_step=26336 | return=-561.87 | steps=62
global_step=26432 | return=-262.44 | steps=76
global_step=26528 | return=-371.91 | steps=52
global_step=26624 | return=-402.19 | steps=55
global_step=26816 | return=-473.47 | steps=61
global_step=26848 | return=-345.59 | steps=53
global_step=26880 | return=-278.00 | steps=132
